,DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,just_date,residuals
13951,af56ab19-0fdd-4832-a48a-11a2b2b9fb34,339947,Temperature - 339947 @Admin AirCond,2/20/2018 10:15,8.2,8.2Â° C,100,2018-02-20,-19.80102375448919
13952,9ab717c8-2c6f-4c30-9979-8af6efe730af,339947,Temperature - 339947 @Admin AirCond,2/20/2018 10:25,8.2,8.2Â° C,100,2018-02-20,-19.945075457244815
13953,cb8d17a7-d9f6-4ca3-8576-c7d818f694e1,339947,Temperature - 339947 @Admin AirCond,2/20/2018 10:35,8.3,8.3Â° C,100,2018-02-20,-19.773700662722767
13960,55a8ac49-97c9-4439-8f53-1a0fbb1f34e1,339947,Temperature - 339947 @Admin AirCond,2/20/2018 11:45,8.3,8.3Â° C,100,2018-02-20,-19.915274923209974
13970,ca7f7772-70e0-4199-af23-246e19a3414e,339947,Temperature - 339947 @Admin AirCond,2/20/2018 13:14,8.4,8.4Â° C,100,2018-02-20,-19.791232081041475
13971,120f798d-1ef5-4b47-82bc-ad084d7bc1c3,339947,Temperature - 339947 @Admin AirCond,2/20/2018 13:24,8.3,8.3Â° C,100,2018-02-20,-19.78973024477714
13979,2dc4d808-0f55-4c42-96b3-9b4bdb9eae45,339947,Temperature - 339947 @Admin AirCond,2/20/2018 14:34,8.3,8.3Â° C,100,2018-02-20,-19.975224650454912
13981,6ca293e6-f086-4fb8-8f55-09e2938a7492,339947,Temperature - 339947 @Admin AirCond,2/20/2018 14:44,8.4,8.4Â° C,100,2018-02-20,-19.808750037421067
14093,7bc960ef-8804-4095-b7fc-e686d3e1ea7a,339947,Temperature - 339947 @Admin AirCond,2/21/2018 9:23,8.2,8.2Â° C,100,2018-02-21,-19.853086161628514
14094,348f6b64-8371-4906-8cca-5e5fe5d70143,339947,Temperature - 339947 @Admin AirCond,2/21/2018 9:33,8.0,8Â° C,100,2018-02-21,-19.99786381719721
14095,bd42e5fb-f563-4454-ba20-83aa92e9a21b,339947,Temperature - 339947 @Admin AirCond,2/21/2018 9:43,8.2,8.2Â° C,100,2018-02-21,-19.941915519952843
14096,41b87080-98d1-40ac-be07-b0aa963373fa,339947,Temperature - 339947 @Admin AirCond,2/21/2018 9:53,8.2,8.2Â° C,100,2018-02-21,-19.870540725430793
14097,007bf127-7e8a-4819-a2a2-5b98e132cd8f,339947,Temperature - 339947 @Admin AirCond,2/21/2018 10:03,8.3,8.3Â° C,100,2018-02-21,-19.82548172038242
14098,3e0ea1b3-1710-4d0a-8ce5-d158dd72d01b,339947,Temperature - 339947 @Admin AirCond,2/21/2018 10:13,8.4,8.4Â° C,100,2018-02-21,-19.734687688110824
14099,82e98ead-f8b1-40db-bf89-7924946384af,339947,Temperature - 339947 @Admin AirCond,2/21/2018 10:23,8.4,8.4Â° C,100,2018-02-21,-19.721026142227615
14100,d60b8f86-9180-4460-b016-7c06874c8c63,339947,Temperature - 339947 @Admin AirCond,2/21/2018 10:33,8.1,8.1Â° C,100,2018-02-21,-20.004460785092135
14101,4b8f6109-e0a2-4c8b-8e8c-81f8a647b77d,339947,Temperature - 339947 @Admin AirCond,2/21/2018 10:43,8.1,8.1Â° C,100,2018-02-21,-20.017840981495674
