Equipment ID,Inspection Date,PD Average,PD Count,Temperature,Humidity,Loading,Confirm action,Building,Room,Equipment Name,Measurement Position
18573,23/8/2017 12:00:00 AM,852.15,6,33.3,57.4,20,?,-,Mitsui QC21,Panel 2 - Incoming Panel,Bottom
18574,23/8/2017 12:00:00 AM,576.34,8,33.3,57.4,10,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point A
18574,11/7/2018 12:00:00 AM,425.79,6,29.6,71.1,2,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point A
18574,12/3/2019 12:00:00 AM,425.99,6,37.2,49.3,2,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point A
18575,23/8/2017 12:00:00 AM,312.23,7,33.3,57.4,10,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point B
18575,11/7/2018 12:00:00 AM,489.45,2,29.6,71.1,2,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point B
18575,12/3/2019 12:00:00 AM,363.66,5,37.2,49.3,2,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point B
18576,23/8/2017 12:00:00 AM,967.23,3,33.3,57.4,10,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point C
18576,11/7/2018 12:00:00 AM,387.84,3,29.6,71.1,2,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point C
18576,12/3/2019 12:00:00 AM,216.29,2,37.2,49.3,2,?,-,Mitsui QC21,Transformer 1200KVA (S/N: A1T68655T601-1) (11kV/440V),High Voltage side Point C
