Equipment ID,Inspection Date,PD Average,PD Count,Temperature,Humidity,Loading,Confirm action,Building,Room,Equipment Name,Measurement Position
18526,22/8/2017 12:00:00 AM,311.87,6,32.1,55,2,?,-,Mitsui QC16,Transformer 830KVA (S/N: A1F28857T601-2) (11kV/440V),High Voltage side Point C
18526,10/7/2018 12:00:00 AM,1414,7,32.8,58.7,10,?,-,Mitsui QC16,Transformer 830KVA (S/N: A1F28857T601-2) (11kV/440V),High Voltage side Point C
18526,14/3/2019 12:00:00 AM,270.42,2,35.4,49.3,1,?,-,Mitsui QC16,Transformer 830KVA (S/N: A1F28857T601-2) (11kV/440V),High Voltage side Point C
18527,22/8/2017 12:00:00 AM,344.35,2,32.1,55,2,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point A
18527,10/7/2018 12:00:00 AM,1109.76,15,32.8,58.7,3,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point A
18527,14/3/2019 12:00:00 AM,339.85,1,35.4,49.3,1,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point A
18528,22/8/2017 12:00:00 AM,289.5,1,32.1,55,2,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point B
18528,10/7/2018 12:00:00 AM,1402.6,4,32.8,58.7,3,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point B
18528,14/3/2019 12:00:00 AM,202.33,1,35.4,49.3,1,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point B
18529,22/8/2017 12:00:00 AM,267.05,3,32.1,55,2,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point C
18529,10/7/2018 12:00:00 AM,834.22,24,32.8,58.7,3,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point C
18529,14/3/2019 12:00:00 AM,325.01,2,35.4,49.3,1,?,-,Mitsui QC16,Transformer 150KVA (S/N: A1F28857T602-2) (11kV/380V),High Voltage side Point C
18530,22/8/2017 12:00:00 AM,360.05,1,32.1,56.1,4,?,-,Mitsui QC17,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18530,10/7/2018 12:00:00 AM,544.36,2,33.4,59.8,10,?,-,Mitsui QC17,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18530,14/3/2019 12:00:00 AM,482.18,4,33.3,54.1,2,?,-,Mitsui QC17,Panel 1 - 1200KVA/150KVA Transformer Panel,Top
18531,22/8/2017 12:00:00 AM,271.09,2,32.1,56.1,4,?,-,Mitsui QC17,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18531,10/7/2018 12:00:00 AM,589.9,3,33.4,59.8,10,?,-,Mitsui QC17,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18531,14/3/2019 12:00:00 AM,358.25,3,33.3,54.1,2,?,-,Mitsui QC17,Panel 1 - 1200KVA/150KVA Transformer Panel,Bottom
18532,22/8/2017 12:00:00 AM,326.26,2,32.1,56.1,4,?,-,Mitsui QC17,Panel 2 - Incoming Panel,Top
18533,22/8/2017 12:00:00 AM,277.44,5,32.1,56.1,4,?,-,Mitsui QC17,Panel 2 - Incoming Panel,Bottom
18534,22/8/2017 12:00:00 AM,341.52,3,32.1,56.1,2,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point A
18534,10/7/2018 12:00:00 AM,395.85,1,33.4,59.8,5,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point A
18534,14/3/2019 12:00:00 AM,475.85,5,33.3,54.1,1,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point A
18535,22/8/2017 12:00:00 AM,326.25,2,32.1,56.1,2,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point B
18535,10/7/2018 12:00:00 AM,534.96,11,33.4,59.8,5,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point B
18535,14/3/2019 12:00:00 AM,435.95,1,33.3,54.1,1,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point B
18536,22/8/2017 12:00:00 AM,496.57,2,32.1,56.1,2,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point C
18536,10/7/2018 12:00:00 AM,516.96,8,33.4,59.8,5,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point C
18536,14/3/2019 12:00:00 AM,513.85,4,33.3,54.1,1,?,-,Mitsui QC17,Transformer 1200KVA (S/N: A1F27877T601-1) (11kV/440V),High Voltage side Point C
